x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
65-80	0-4	0.8603855247653367	278	21442	2725	180834	2021-01-03	1.6330777093210005	4152	2.9223238447942093	120	0.3777430000602651	0.8047337557114557	0.6169365247684441	1.0403539270806315	0.5790286822635382	0.9782773163033202
65-80	12-17	0.8879957439093406	955	21442	9070	180834	2021-01-03	1.6330777093210005	4152	2.000354233701129	910	0.4887917307022653	0.8305580806311834	0.7699912379781086	0.9951072398882153	0.7230987005903629	0.9298908493997067
65-80	18-24	0.754173224669674	1807	21442	20207	180834	2021-01-03	1.6330777093210005	4152	1.9016844119835183	4294	0.4267179509049074	0.7053915181929352	0.6794744597656392	0.8330703610157071	0.641299116501697	0.7732111742425688
65-80	25-64	0.8904109669555712	11452	21442	108469	180834	2021-01-03	1.6330777093210005	4152	1.0691555047354513	69562	0.6590185941937504	0.8328170813429913	0.8619504963038646	0.9202823727436584	0.8017030504803724	0.8680619460090225
65-80	5-11	0.8032033330110646	626	21442	6573	180834	2021-01-03	1.6330777093210005	4152	2.050920892672584	490	0.4360497490831911	0.7512502432560612	0.6669670850413512	0.9254638882612347	0.627572723297041	0.8632833788128795
65-80	65-80	1.6330777093210005	4152	21442	21442	180834	2021-01-03	1.6330777093210005	4152	1.6330777093210005	4152	1	1.5274463836998944	1.4949664830467775	1.8140232848189966	1.3954840734128897	1.707067485558225
65-80	80+	1.4834673710294988	2172	21442	12348	180834	2021-01-03	1.6330777093210005	4152	3.7525226547496535	3164	0.5509013928795246	1.3875131956567568	1.3573819291441085	1.6560671574011907	1.2729802256878608	1.5412762863910254
80+	0-4	0.6664056430785508	124	12348	2725	180834	2021-01-03	3.7525226547496535	3164	2.9223238447942093	120	0.19967669462483992	0.6233009511964719	0.4496493761293516	0.9425684483253789	0.42248197541845434	0.876899987533622
80+	12-17	0.6167931618491886	382	12348	9070	180834	2021-01-03	3.7525226547496535	3164	2.000354233701129	910	0.21442946678988903	0.5768975225000652	0.4684107018546248	0.7963243434020358	0.4402293226453653	0.750582983785752
80+	18-24	0.568920111411196	785	12348	20207	180834	2021-01-03	3.7525226547496535	3164	1.9016844119835183	4294	0.20123780565394137	0.5321210141007205	0.4741040582316524	0.6582152181864397	0.4421583338488148	0.613764835405693
80+	25-64	0.7373098039685089	5461	12348	108469	180834	2021-01-03	3.7525226547496535	3164	1.0691555047354513	69562	0.30583119801062975	0.6896188633953174	0.6923968078715148	0.7911503797303299	0.6385180852292567	0.7426172979375589
80+	5-11	0.5792862137719113	260	12348	6573	180834	2021-01-03	3.7525226547496535	3164	2.050920892672584	490	0.19963534030729657	0.5418166124629814	0.3897446765848138	0.7884573951735275	0.36676214133012025	0.7385325798154281
80+	65-80	1.4834673710294988	2172	12348	21442	180834	2021-01-03	3.7525226547496535	3164	1.6330777093210005	4152	0.5509013928795246	1.3875131956567568	1.3573819291441085	1.6560671574011907	1.2729802256878608	1.5412762863910254
80+	80+	3.7525226547496535	3164	12348	12348	180834	2021-01-03	3.7525226547496535	3164	3.7525226547496535	3164	1	3.509800621265254	3.1820992642573955	4.350253297844645	2.9912954414213306	4.097105106574279
0-4	0-4	3.2316641795843584	296	4661	4661	237188	2021-01-31	3.2316641795843584	296	3.2316641795843584	296	1	2.9350829991570113	2.365445239675925	4.375260467635281	2.1472873723077215	4.006272637735432
0-4	12-17	1.2840520615939042	333	4661	13197	237188	2021-01-31	3.2316641795843584	296	1.9965318891002624	1466	0.49120271876757027	1.166210090709829	1.0224262157195558	1.5052531367042317	0.9254642465729855	1.3774608355771516
0-4	18-24	0.6159491928785168	415	4661	34286	237188	2021-01-31	3.2316641795843584	296	2.724717624256629	13504	0.2068199162388551	0.559421370507234	0.5308748053412256	0.7025103704434951	0.48256831241512277	0.6387706389392913
0-4	25-64	1.015770243098214	2742	4661	137368	237188	2021-01-31	3.2316641795843584	296	1.1010469484210594	87596	0.4688843604331537	0.9225494376555556	0.9753746010016167	1.051958196035633	0.8830945530215948	0.9536499629885062
0-4	5-11	1.8794486010342983	382	4661	10343	237188	2021-01-31	3.2316641795843584	296	2.55861813714003	1154	0.6491733902527634	1.70696499702351	1.5882456252369916	2.243851765285173	1.4401265822852933	2.0585654475134976
0-4	65-80	0.7261385977773122	350	4661	24528	237188	2021-01-31	3.2316641795843584	296	1.74257190532199	4420	0.29195984484157567	0.6594983064242818	0.5943599578653781	0.8728931506173682	0.5411859184328683	0.7936110239534904
0-4	80+	0.5682900832642125	143	4661	12805	237188	2021-01-31	3.2316641795843584	296	4.299147574656705	2972	0.15092399114721555	0.5161361048946739	0.37600451075117175	0.7594799661530229	0.34054474191903344	0.6909635521791453
12-17	0-4	1.2840520615939042	333	13197	4661	237188	2021-01-31	1.9965318891002624	1466	3.2316641795843584	296	0.49120271876757027	1.166210090709829	1.0224262157195558	1.5052531367042317	0.9254642465729855	1.3774608355771516
12-17	12-17	1.9965318891002624	1466	13197	13197	237188	2021-01-31	1.9965318891002624	1466	1.9965318891002624	1466	1	1.8133031402188255	1.7411026090357307	2.272258678199615	1.5860898682007254	2.0656984548434085
12-17	18-24	0.8465901347844151	1615	13197	34286	237188	2021-01-31	1.9965318891002624	1466	2.724717624256629	13504	0.3586296942745035	0.7688955825166724	0.7623405209483634	0.9205736718551019	0.6935019778274155	0.8362531408429035
12-17	25-64	0.970159357143583	7415	13197	137368	237188	2021-01-31	1.9965318891002624	1466	1.1010469484210594	87596	0.6263984925206314	0.8811244230183155	0.944124487689769	0.9990853050609712	0.8593340668935004	0.9062026998418691
