x	y	RR	N_pairs	N_x	N_y	N_total	date
6-17y	18-25y	1.1263048522291177	199	3232	7985	146066	2020-03-29
6-17y	81y+	0.9895591057882297	604	3232	27585	146066	2020-03-29
6-17y	46-65y	0.9369128277360415	891	3232	42979	146066	2020-03-29
6-17y	26-45y	0.9919598009515613	750	3232	34170	146066	2020-03-29
6-17y	0-5y	2.0086087652882934	34	3232	765	146066	2020-03-29
6-17y	65-80y	0.8823163066945536	573	3232	29350	146066	2020-03-29
65-80y	6-17y	0.8823163066945536	573	29350	3232	146066	2020-03-29
65-80y	18-25y	0.8470042104072905	1359	29350	7985	146066	2020-03-29
65-80y	81y+	0.950055327825192	5266	29350	27585	146066	2020-03-29
65-80y	46-65y	1.0545327239367683	9107	29350	42979	146066	2020-03-29
65-80y	26-45y	0.9931543355474357	6819	29350	34170	146066	2020-03-29
65-80y	0-5y	0.891251316653862	137	29350	765	146066	2020-03-29
65-80y	65-80y	1.1408246812684832	6728	29350	29350	146066	2020-03-29
81y+	6-17y	0.9895591057882297	604	27585	3232	146066	2020-03-29
81y+	18-25y	0.7320998260173569	1104	27585	7985	146066	2020-03-29
81y+	81y+	1.3795924374210857	7187	27585	27585	146066	2020-03-29
81y+	46-65y	0.7893590018415653	6407	27585	42979	146066	2020-03-29
81y+	26-45y	0.7785397665947417	5024	27585	34170	146066	2020-03-29
81y+	0-5y	1.0036510322816818	145	27585	765	146066	2020-03-29
81y+	65-80y	0.950055327825192	5266	27585	29350	146066	2020-03-29
0-5y	81y+	1.1200655443055207	147	790	29382	176862	2020-04-26
0-5y	18-25y	1.097431218363832	66	790	13464	176862	2020-04-26
0-5y	6-17y	2.3367745558242894	36	790	3449	176862	2020-04-26
0-5y	46-65y	0.8731439475072746	189	790	48460	176862	2020-04-26
0-5y	65-80y	1.0399305514151844	143	790	30785	176862	2020-04-26
0-5y	26-45y	0.8683544554296714	196	790	50532	176862	2020-04-26
0-5y	0-5y	3.6840362121454895	13	790	790	176862	2020-04-26
18-25y	81y+	0.5722542753670755	1280	13464	29382	176862	2020-04-26
18-25y	18-25y	3.4654471793623913	3552	13464	13464	176862	2020-04-26
18-25y	6-17y	0.8036180843793451	211	13464	3449	176862	2020-04-26
18-25y	46-65y	0.7630542561763884	2815	13464	48460	176862	2020-04-26
18-25y	65-80y	0.6289538155441623	1474	13464	30785	176862	2020-04-26
18-25y	26-45y	1.0619058244050386	4085	13464	50532	176862	2020-04-26
18-25y	0-5y	1.097431218363832	66	13464	790	176862	2020-04-26
26-45y	81y+	0.6359846171053516	5339	50532	29382	176862	2020-04-26
26-45y	18-25y	1.0619058244050386	4085	50532	13464	176862	2020-04-26
26-45y	6-17y	0.8108147346446624	799	50532	3449	176862	2020-04-26
26-45y	46-65y	0.9920759393270623	13736	50532	48460	176862	2020-04-26
26-45y	65-80y	0.8081208387133162	7108	50532	30785	176862	2020-04-26
26-45y	26-45y	1.3324823877897063	19238	50532	50532	176862	2020-04-26
26-45y	0-5y	0.8683544554296714	196	50532	790	176862	2020-04-26
46-65y	81y+	0.8267669002780711	6656	48460	29382	176862	2020-04-26
46-65y	18-25y	0.7630542561763884	2815	48460	13464	176862	2020-04-26
46-65y	6-17y	0.972463795603336	919	48460	3449	176862	2020-04-26
46-65y	46-65y	1.0843509932584774	14398	48460	48460	176862	2020-04-26
46-65y	65-80y	1.1078762952703207	9345	48460	30785	176862	2020-04-26
46-65y	26-45y	0.9920759393270623	13736	48460	50532	176862	2020-04-26
46-65y	0-5y	0.8731439475072746	189	48460	790	176862	2020-04-26
6-17y	81y+	1.1082397218400213	635	3449	29382	176862	2020-04-26
6-17y	18-25y	0.8036180843793451	211	3449	13464	176862	2020-04-26
6-17y	6-17y	2.4234594788443222	163	3449	3449	176862	2020-04-26
6-17y	46-65y	0.972463795603336	919	3449	48460	176862	2020-04-26
6-17y	65-80y	1.0077610253738871	605	3449	30785	176862	2020-04-26
6-17y	26-45y	0.8108147346446624	799	3449	50532	176862	2020-04-26
6-17y	0-5y	2.3367745558242894	36	3449	790	176862	2020-04-26
65-80y	81y+	1.09575168342248	5604	30785	29382	176862	2020-04-26
65-80y	18-25y	0.6289538155441623	1474	30785	13464	176862	2020-04-26
65-80y	6-17y	1.0077610253738871	605	30785	3449	176862	2020-04-26
65-80y	46-65y	1.1078762952703207	9345	30785	48460	176862	2020-04-26
65-80y	65-80y	1.3040946481632727	6988	30785	30785	176862	2020-04-26
65-80y	26-45y	0.8081208387133162	7108	30785	50532	176862	2020-04-26
65-80y	0-5y	1.0399305514151844	143	30785	790	176862	2020-04-26
81y+	81y+	1.5813677012029919	7719	29382	29382	176862	2020-04-26
81y+	18-25y	0.5722542753670755	1280	29382	13464	176862	2020-04-26
81y+	6-17y	1.1082397218400213	635	29382	3449	176862	2020-04-26
81y+	46-65y	0.8267669002780711	6656	29382	48460	176862	2020-04-26
81y+	65-80y	1.09575168342248	5604	29382	30785	176862	2020-04-26
81y+	26-45y	0.6359846171053516	5339	29382	50532	176862	2020-04-26
81y+	0-5y	1.1200655443055207	147	29382	790	176862	2020-04-26
0-5y	46-65y	0.9058719580132548	202	847	51479	195537	2020-05-24
0-5y	81y+	1.1006088971381123	147	847	30834	195537	2020-05-24
0-5y	26-45y	0.9291242007914092	224	847	55657	195537	2020-05-24
0-5y	0-5y	3.8158414516684345	14	847	847	195537	2020-05-24
0-5y	65-80y	1.0232578110032162	144	847	32488	195537	2020-05-24
0-5y	18-25y	0.8436982478676094	75	847	20522	195537	2020-05-24
0-5y	6-17y	2.5512648096818644	41	847	3710	195537	2020-05-24
18-25y	46-65y	0.6011670706815372	3248	20522	51479	195537	2020-05-24
18-25y	81y+	0.42304137613148607	1369	20522	30834	195537	2020-05-24
18-25y	26-45y	0.8590533355715307	5018	20522	55657	195537	2020-05-24
18-25y	0-5y	0.8436982478676094	75	20522	847	195537	2020-05-24
18-25y	65-80y	0.4654394773150638	1587	20522	32488	195537	2020-05-24
18-25y	18-25y	4.173969518840591	8990	20522	20522	195537	2020-05-24
18-25y	6-17y	0.6574690733578664	256	20522	3710	195537	2020-05-24
26-45y	46-65y	1.017006225832857	14902	55657	51479	195537	2020-05-24
26-45y	81y+	0.6480953036031746	5688	55657	30834	195537	2020-05-24
26-45y	26-45y	1.3478076645463284	21352	55657	55657	195537	2020-05-24
26-45y	0-5y	0.9291242007914092	224	55657	847	195537	2020-05-24
26-45y	65-80y	0.8149426889051687	7536	55657	32488	195537	2020-05-24
26-45y	18-25y	0.8590533355715307	5018	55657	20522	195537	2020-05-24
26-45y	6-17y	0.8465892821486941	894	55657	3710	195537	2020-05-24
46-65y	46-65y	1.1186560911670689	15161	51479	51479	195537	2020-05-24
46-65y	81y+	0.8580055534509171	6965	51479	30834	195537	2020-05-24
46-65y	26-45y	1.017006225832857	14902	51479	55657	195537	2020-05-24
46-65y	0-5y	0.9058719580132548	202	51479	847	195537	2020-05-24
46-65y	65-80y	1.1326872180970613	9688	51479	32488	195537	2020-05-24
46-65y	18-25y	0.6011670706815372	3248	51479	20522	195537	2020-05-24
46-65y	6-17y	0.9838940317903163	961	51479	3710	195537	2020-05-24
6-17y	46-65y	0.9838940317903163	961	3710	51479	195537	2020-05-24
6-17y	81y+	1.1264465469996978	659	3710	30834	195537	2020-05-24
6-17y	26-45y	0.8465892821486941	894	3710	55657	195537	2020-05-24
6-17y	0-5y	2.5512648096818644	41	3710	847	195537	2020-05-24
6-17y	65-80y	1.0106949876910802	623	3710	32488	195537	2020-05-24
6-17y	18-25y	0.6574690733578664	256	3710	20522	195537	2020-05-24
6-17y	6-17y	2.670785376450331	188	3710	3710	195537	2020-05-24
65-80y	46-65y	1.1326872180970613	9688	32488	51479	195537	2020-05-24
65-80y	81y+	1.1588925007822828	5937	32488	30834	195537	2020-05-24
65-80y	26-45y	0.8149426889051687	7536	32488	55657	195537	2020-05-24
65-80y	0-5y	1.0232578110032162	144	32488	847	195537	2020-05-24
65-80y	65-80y	1.3594420601630963	7338	32488	32488	195537	2020-05-24
65-80y	18-25y	0.4654394773150638	1587	32488	20522	195537	2020-05-24
65-80y	6-17y	1.0106949876910802	623	32488	3710	195537	2020-05-24
81y+	46-65y	0.8580055534509171	6965	30834	51479	195537	2020-05-24
81y+	81y+	1.6513178286980992	8029	30834	30834	195537	2020-05-24
81y+	26-45y	0.6480953036031746	5688	30834	55657	195537	2020-05-24
81y+	0-5y	1.1006088971381123	147	30834	847	195537	2020-05-24
81y+	65-80y	1.1588925007822828	5937	30834	32488	195537	2020-05-24
81y+	18-25y	0.42304137613148607	1369	30834	20522	195537	2020-05-24
81y+	6-17y	1.1264465469996978	659	30834	3710	195537	2020-05-24
0-5y	26-45y	0.9563612212844762	224	831	45515	161484	2020-06-21
0-5y	0-5y	3.273826642396544	14	831	831	161484	2020-06-21
0-5y	81y+	0.9973034576064456	147	831	28643	161484	2020-06-21
0-5y	65-80y	1.1250901223859997	139	831	24008	161484	2020-06-21
0-5y	46-65y	0.9524200462564665	183	831	37338	161484	2020-06-21
0-5y	18-25y	0.6838049197473243	77	831	21882	161484	2020-06-21
0-5y	6-17y	2.7956143132819644	47	831	3267	161484	2020-06-21
18-25y	26-45y	0.7456780304149598	4599	21882	45515	161484	2020-06-21
18-25y	0-5y	0.6838049197473243	77	21882	831	161484	2020-06-21
18-25y	81y+	0.3393202347377656	1317	21882	28643	161484	2020-06-21
18-25y	65-80y	0.3879232944500936	1262	21882	24008	161484	2020-06-21
18-25y	46-65y	0.5018271284873911	2539	21882	37338	161484	2020-06-21
18-25y	18-25y	4.007236913821849	11882	21882	21882	161484	2020-06-21
18-25y	6-17y	0.5421314512514419	240	21882	3267	161484	2020-06-21
26-45y	26-45y	1.4734254373902855	18902	45515	45515	161484	2020-06-21
26-45y	0-5y	0.9563612212844762	224	45515	831	161484	2020-06-21
26-45y	81y+	0.6219373950622141	5021	45515	28643	161484	2020-06-21
26-45y	65-80y	0.7529448338707853	5095	45515	24008	161484	2020-06-21
26-45y	46-65y	1.0377346244016856	10921	45515	37338	161484	2020-06-21
26-45y	18-25y	0.7456780304149598	4599	45515	21882	161484	2020-06-21
26-45y	6-17y	0.8058045694848747	742	45515	3267	161484	2020-06-21
46-65y	26-45y	1.0377346244016856	10921	37338	45515	161484	2020-06-21
46-65y	0-5y	0.9524200462564665	183	37338	831	161484	2020-06-21
46-65y	81y+	0.909437394572191	6023	37338	28643	161484	2020-06-21
46-65y	65-80y	1.1678807139723757	6483	37338	24008	161484	2020-06-21
46-65y	46-65y	1.1500928584484778	9929	37338	37338	161484	2020-06-21
46-65y	18-25y	0.5018271284873911	2539	37338	21882	161484	2020-06-21
46-65y	6-17y	0.9465321245837318	715	37338	3267	161484	2020-06-21
6-17y	26-45y	0.8058045694848747	742	3267	45515	161484	2020-06-21
6-17y	0-5y	2.7956143132819644	47	3267	831	161484	2020-06-21
6-17y	81y+	1.1009878946230205	638	3267	28643	161484	2020-06-21
6-17y	65-80y	1.1282489680258605	548	3267	24008	161484	2020-06-21
6-17y	46-65y	0.9465321245837318	715	3267	37338	161484	2020-06-21
6-17y	18-25y	0.5421314512514419	240	3267	21882	161484	2020-06-21
6-17y	6-17y	3.177243771812044	210	3267	3267	161484	2020-06-21
65-80y	26-45y	0.7529448338707853	5095	24008	45515	161484	2020-06-21
65-80y	0-5y	1.1250901223859997	139	24008	831	161484	2020-06-21
65-80y	81y+	1.2523525293149325	5333	24008	28643	161484	2020-06-21
65-80y	65-80y	1.467516619265865	5238	24008	24008	161484	2020-06-21
65-80y	46-65y	1.1678807139723757	6483	24008	37338	161484	2020-06-21
65-80y	18-25y	0.3879232944500936	1262	24008	21882	161484	2020-06-21
65-80y	6-17y	1.1282489680258605	548	24008	3267	161484	2020-06-21
81y+	26-45y	0.6219373950622141	5021	28643	45515	161484	2020-06-21
81y+	0-5y	0.9973034576064456	147	28643	831	161484	2020-06-21
81y+	81y+	1.5496468730183088	7873	28643	28643	161484	2020-06-21
81y+	65-80y	1.2523525293149325	5333	28643	24008	161484	2020-06-21
81y+	46-65y	0.909437394572191	6023	28643	37338	161484	2020-06-21
81y+	18-25y	0.3393202347377656	1317	28643	21882	161484	2020-06-21
81y+	6-17y	1.1009878946230205	638	28643	3267	161484	2020-06-21
0-5y	65-80y	1.1853646693037099	58	493	10159	102358	2020-07-19
0-5y	46-65y	0.96765622688904	96	493	20598	102358	2020-07-19
0-5y	81y+	1.1254395506168877	54	493	9962	102358	2020-07-19
0-5y	6-17y	4.406344712790589	42	493	1979	102358	2020-07-19
0-5y	18-25y	0.44683971173934345	51	493	23697	102358	2020-07-19
0-5y	26-45y	1.0243579838631738	175	493	35470	102358	2020-07-19
0-5y	0-5y	7.159408185180766	17	493	493	102358	2020-07-19
18-25y	65-80y	0.2827477217819653	665	23697	10159	102358	2020-07-19
18-25y	46-65y	0.4716206651651142	2249	23697	20598	102358	2020-07-19
18-25y	81y+	0.2540852818462616	586	23697	9962	102358	2020-07-19
18-25y	6-17y	0.5500259583029925	252	23697	1979	102358	2020-07-19
18-25y	18-25y	2.7356332628839444	15008	23697	23697	102358	2020-07-19
18-25y	26-45y	0.5948833358144983	4885	23697	35470	102358	2020-07-19
18-25y	0-5y	0.44683971173934345	51	23697	493	102358	2020-07-19
26-45y	65-80y	0.5962413386944593	2099	35470	10159	102358	2020-07-19
26-45y	46-65y	1.149793854749475	8207	35470	20598	102358	2020-07-19
26-45y	81y+	0.546041212598854	1885	35470	9962	102358	2020-07-19
26-45y	6-17y	0.9040792573501893	620	35470	1979	102358	2020-07-19
26-45y	18-25y	0.5948833358144983	4885	35470	23697	102358	2020-07-19
26-45y	26-45y	1.4476000637140676	17793	35470	35470	102358	2020-07-19
26-45y	0-5y	1.0243579838631738	175	35470	493	102358	2020-07-19
46-65y	65-80y	1.0820090715885218	2212	20598	10159	102358	2020-07-19
46-65y	46-65y	1.3490835519095654	5592	20598	20598	102358	2020-07-19
46-65y	81y+	1.0210994565054559	2047	20598	9962	102358	2020-07-19
46-65y	6-17y	1.2178468883957345	485	20598	1979	102358	2020-07-19
46-65y	18-25y	0.4716206651651142	2249	20598	23697	102358	2020-07-19
46-65y	26-45y	1.149793854749475	8207	20598	35470	102358	2020-07-19
46-65y	0-5y	0.96765622688904	96	20598	493	102358	2020-07-19
6-17y	65-80y	1.0182514890452516	200	1979	10159	102358	2020-07-19
6-17y	46-65y	1.2178468883957345	485	1979	20598	102358	2020-07-19
6-17y	81y+	0.5399615557816012	104	1979	9962	102358	2020-07-19
6-17y	6-17y	6.324782372567339	242	1979	1979	102358	2020-07-19
6-17y	18-25y	0.5500259583029925	252	1979	23697	102358	2020-07-19
6-17y	26-45y	0.9040792573501893	620	1979	35470	102358	2020-07-19
6-17y	0-5y	4.406344712790589	42	1979	493	102358	2020-07-19
65-80y	65-80y	2.008375433811376	2025	10159	10159	102358	2020-07-19
65-80y	46-65y	1.0820090715885218	2212	10159	20598	102358	2020-07-19
65-80y	81y+	2.055171172257907	2032	10159	9962	102358	2020-07-19
65-80y	6-17y	1.0182514890452516	200	10159	1979	102358	2020-07-19
65-80y	18-25y	0.2827477217819653	665	10159	23697	102358	2020-07-19
65-80y	26-45y	0.5962413386944593	2099	10159	35470	102358	2020-07-19
65-80y	0-5y	1.1853646693037099	58	10159	493	102358	2020-07-19
81y+	65-80y	2.055171172257907	2032	9962	10159	102358	2020-07-19
81y+	46-65y	1.0210994565054559	2047	9962	20598	102358	2020-07-19
81y+	81y+	2.7620993201187196	2678	9962	9962	102358	2020-07-19
81y+	6-17y	0.5399615557816012	104	9962	1979	102358	2020-07-19
81y+	18-25y	0.2540852818462616	586	9962	23697	102358	2020-07-19
81y+	26-45y	0.546041212598854	1885	9962	35470	102358	2020-07-19
81y+	0-5y	1.1254395506168877	54	9962	493	102358	2020-07-19
0-5y	65-80y	0.9553591120708927	47	574	13934	162576	2020-08-16
0-5y	81y+	0.4024243976247933	11	574	7742	162576	2020-08-16
0-5y	26-45y	1.0793138879135018	231	574	60619	162576	2020-08-16
0-5y	0-5y	7.401574014495745	15	574	574	162576	2020-08-16
0-5y	46-65y	1.0601431969845596	121	574	32327	162576	2020-08-16
0-5y	18-25y	0.6588101592359484	96	574	41272	162576	2020-08-16
0-5y	6-17y	2.457657918215444	53	574	6108	162576	2020-08-16
18-25y	65-80y	0.530627051926156	1877	41272	13934	162576	2020-08-16
18-25y	81y+	0.340387712213757	669	41272	7742	162576	2020-08-16
18-25y	26-45y	0.721623577689191	11105	41272	60619	162576	2020-08-16
18-25y	0-5y	0.6588101592359484	96	41272	574	162576	2020-08-16
18-25y	46-65y	0.6654381459035648	5461	41272	32327	162576	2020-08-16
18-25y	18-25y	1.9894199507277417	20844	41272	41272	162576	2020-08-16
18-25y	6-17y	0.7919545526583397	1228	41272	6108	162576	2020-08-16
26-45y	65-80y	0.7464138090528006	3878	60619	13934	162576	2020-08-16
26-45y	81y+	0.6197333124221688	1789	60619	7742	162576	2020-08-16
26-45y	26-45y	1.2305144964006676	27813	60619	60619	162576	2020-08-16
26-45y	0-5y	1.0793138879135018	231	60619	574	162576	2020-08-16
26-45y	46-65y	1.1091267672625165	13369	60619	32327	162576	2020-08-16
26-45y	18-25y	0.721623577689191	11105	60619	41272	162576	2020-08-16
26-45y	6-17y	0.9585226390609612	2183	60619	6108	162576	2020-08-16
46-65y	65-80y	1.1112836234547367	3079	32327	13934	162576	2020-08-16
46-65y	81y+	1.1062480377134916	1703	32327	7742	162576	2020-08-16
46-65y	26-45y	1.1091267672625165	13369	32327	60619	162576	2020-08-16
46-65y	0-5y	1.0601431969845596	121	32327	574	162576	2020-08-16
46-65y	46-65y	1.2839185483339954	8253	32327	32327	162576	2020-08-16
46-65y	18-25y	0.6654381459035648	5461	32327	41272	162576	2020-08-16
46-65y	6-17y	1.0786071630217646	1310	32327	6108	162576	2020-08-16
6-17y	65-80y	0.9455550180479422	495	6108	13934	162576	2020-08-16
6-17y	81y+	0.49507015882376926	144	6108	7742	162576	2020-08-16
6-17y	26-45y	0.9585226390609612	2183	6108	60619	162576	2020-08-16
6-17y	0-5y	2.457657918215444	53	6108	574	162576	2020-08-16
6-17y	46-65y	1.0786071630217646	1310	6108	32327	162576	2020-08-16
6-17y	18-25y	0.7919545526583397	1228	6108	41272	162576	2020-08-16
6-17y	6-17y	2.8586581298684366	656	6108	6108	162576	2020-08-16
65-80y	65-80y	1.9300819644554927	2305	13934	13934	162576	2020-08-16
65-80y	81y+	2.595138911316689	1722	13934	7742	162576	2020-08-16
65-80y	26-45y	0.7464138090528006	3878	13934	60619	162576	2020-08-16
65-80y	0-5y	0.9553591120708927	47	13934	574	162576	2020-08-16
65-80y	46-65y	1.1112836234547367	3079	13934	32327	162576	2020-08-16
65-80y	18-25y	0.530627051926156	1877	13934	41272	162576	2020-08-16
65-80y	6-17y	0.9455550180479422	495	13934	6108	162576	2020-08-16
81y+	65-80y	2.595138911316689	1722	7742	13934	162576	2020-08-16
81y+	81y+	5.419329849143533	1998	7742	7742	162576	2020-08-16
81y+	26-45y	0.6197333124221688	1789	7742	60619	162576	2020-08-16
81y+	0-5y	0.4024243976247933	11	7742	574	162576	2020-08-16
81y+	46-65y	1.1062480377134916	1703	7742	32327	162576	2020-08-16
81y+	18-25y	0.340387712213757	669	7742	41272	162576	2020-08-16
81y+	6-17y	0.49507015882376926	144	7742	6108	162576	2020-08-16
0-5y	81y+	0.4560182853544071	28	1820	11237	333078	2020-09-13
0-5y	26-45y	0.9694918760827128	649	1820	122511	333078	2020-09-13
0-5y	0-5y	2.7149821881415286	27	1820	1820	333078	2020-09-13
0-5y	46-65y	1.047314295445709	411	1820	71819	333078	2020-09-13
0-5y	65-80y	0.8517139610139985	149	1820	32016	333078	2020-09-13
0-5y	18-25y	0.9013813726434343	367	1820	74513	333078	2020-09-13
0-5y	6-17y	1.8050761809946656	189	1820	19162	333078	2020-09-13
18-25y	81y+	0.4721872307234653	1187	74513	11237	333078	2020-09-13
18-25y	26-45y	0.818039778887674	22420	74513	122511	333078	2020-09-13
18-25y	0-5y	0.9013813726434343	367	74513	1820	333078	2020-09-13
18-25y	46-65y	0.7858512177692193	12626	74513	71819	333078	2020-09-13
18-25y	65-80y	0.6430885272172068	4606	74513	32016	333078	2020-09-13
18-25y	18-25y	1.743861308757691	29069	74513	74513	333078	2020-09-13
18-25y	6-17y	0.9956288542820874	4268	74513	19162	333078	2020-09-13
26-45y	81y+	0.7001950073795735	2894	122511	11237	333078	2020-09-13
26-45y	26-45y	1.124244998230479	50660	122511	122511	333078	2020-09-13
26-45y	0-5y	0.9694918760827128	649	122511	1820	333078	2020-09-13
26-45y	46-65y	1.0458778297371263	27628	122511	71819	333078	2020-09-13
26-45y	65-80y	0.7969628348623314	9385	122511	32016	333078	2020-09-13
26-45y	18-25y	0.818039778887674	22420	122511	74513	333078	2020-09-13
26-45y	6-17y	1.0906537798299696	7687	122511	19162	333078	2020-09-13
46-65y	81y+	1.0499613705239939	2544	71819	11237	333078	2020-09-13
46-65y	26-45y	1.0458778297371263	27628	71819	122511	333078	2020-09-13
46-65y	0-5y	1.047314295445709	411	71819	1820	333078	2020-09-13
46-65y	46-65y	1.1448576245070439	17729	71819	71819	333078	2020-09-13
46-65y	65-80y	1.0209522222173282	7048	71819	32016	333078	2020-09-13
46-65y	18-25y	0.7858512177692193	12626	71819	74513	333078	2020-09-13
46-65y	6-17y	1.2486228742537877	5159	71819	19162	333078	2020-09-13
6-17y	81y+	0.5970930822314644	386	19162	11237	333078	2020-09-13
6-17y	26-45y	1.0906537798299696	7687	19162	122511	333078	2020-09-13
6-17y	0-5y	1.8050761809946656	189	19162	1820	333078	2020-09-13
6-17y	46-65y	1.2486228742537877	5159	19162	71819	333078	2020-09-13
6-17y	65-80y	0.9756321854076615	1797	19162	32016	333078	2020-09-13
6-17y	18-25y	0.9956288542820874	4268	19162	74513	333078	2020-09-13
6-17y	6-17y	1.9611913396335146	2162	19162	19162	333078	2020-09-13
