date	x	y	nRR	RR	N_pairs	N_x	N_y	region_x	region_y	country_x	country_y	nb_dist
2020-01-01	Connecticut	Utah	0.2444792143499321	0.780093691672666	52	3402	4346	New England	Rocky Mountain	USA	USA	6
2020-01-01	Delaware	Utah	0.09851655900045524	0.5238313654784863	14	1364	4346	Mideast	Rocky Mountain	USA	USA	7
2020-01-01	District of Columbia	Utah	0.17636109120261623	1.0669575879244428	18	861	4346	Mideast	Rocky Mountain	USA	USA	6
2020-01-01	Florida	Utah	0.38073267431243984	1.4054959642125795	93	3377	4346	Southeast	Rocky Mountain	USA	USA	6
2020-01-01	Georgia	Utah	0.18647513684943293	3.2073421884600575	57	907	4346	Southeast	Rocky Mountain	USA	USA	5
2020-01-01	Hawaii	Utah	0.12577339216916694	2.117682497188238	10	241	4346	Far West	Rocky Mountain	USA	USA	NA
2020-01-01	Illinois	Utah	0.27097585541951896	1.725525914856419	175	5176	4346	Great Lakes	Rocky Mountain	USA	USA	4
2020-01-01	Kansas	Utah	0.26151244870012536	1.3256143879130533	8	308	4346	Plains	Rocky Mountain	USA	USA	2
2020-01-01	Louisiana	Utah	0.06002524199984313	1.9884212083360728	12	308	4346	Southeast	Rocky Mountain	USA	USA	3
2020-01-01	Maine	Utah	0.09850076054482056	1.587618635942422	41	1318	4346	New England	Rocky Mountain	USA	USA	6
2020-01-01	Maryland	Utah	0.4277685591957341	1.6885510072732728	129	3899	4346	Mideast	Rocky Mountain	USA	USA	6
2020-01-01	Massachusetts	Utah	0.2753827550376265	1.2499236451344309	172	7023	4346	New England	Rocky Mountain	USA	USA	6
2020-01-01	Mexico	Utah	0.04973032468211704	0.763633369406672	6	401	4346	Mexico	Rocky Mountain	Mexico	USA	2
2020-01-01	Michigan	Utah	0.27580741982456675	1.4735734884871403	216	7481	4346	Great Lakes	Rocky Mountain	USA	USA	5
2020-01-01	Minnesota	Utah	0.32450836589050064	2.1422148679208197	125	2978	4346	Plains	Rocky Mountain	USA	USA	3
2020-01-01	Mississippi	Utah	0.11659007476200872	2.2189636313918513	6	138	4346	Southeast	Rocky Mountain	USA	USA	4
2020-01-01	Missouri	Utah	0.18819239171640592	1.4394003605364651	46	1631	4346	Plains	Rocky Mountain	USA	USA	3
2020-01-01	New Jersey	Utah	0.1136396220148316	0.8799336885284923	8	464	4346	Mideast	Rocky Mountain	USA	USA	6
2020-01-01	New York	Utah	0.2718753763117753	0.8773055295781655	449	26120	4346	Mideast	Rocky Mountain	USA	USA	5
2020-01-01	North Carolina	Utah	0.3234258816808307	1.2051035815207676	20	847	4346	Southeast	Rocky Mountain	USA	USA	5
2020-01-01	Nova Scotia	Utah	0.04470633411584519	0.9451137568947048	13	702	4346	Eastern Canada	Rocky Mountain	Canada	USA	7
2020-01-01	Ohio	Utah	0.4088472641817934	1.4617548754000955	105	3666	4346	Great Lakes	Rocky Mountain	USA	USA	5
2020-01-01	Oklahoma	Utah	0.30392714158206363	0.839410710393102	5	304	4346	Southwest	Rocky Mountain	USA	USA	2
